Employee_ID,Attrition_rate
EID_22713,0.1868026703955182
EID_9658,0.12387361178124635
EID_22203,0.24452089127765417
EID_7652,0.07508424439196244
EID_6516,0.2229320612929505
EID_20283,0.1295909958086938
EID_21014,0.09080173202259088
EID_7693,0.1627344819547105
EID_13232,0.18949853554586207
EID_6515,0.04643210054218252
EID_13639,0.1773818010613544
EID_14669,0.1353428173174067
EID_16537,0.20062367427067895
EID_5782,0.2017950744092388
EID_20157,0.10159515569341693
EID_1855,0.15095393679536265
EID_20748,0.12575739768240082
EID_23179,0.05967088753220603
EID_12838,0.1512036577776766
EID_21656,0.1696629509512729
EID_8844,0.054088528677176284
EID_1536,0.0876731351324458
EID_8822,0.25858225100699583
EID_11398,0.10049493519926854
EID_12965,0.2085985475575821
EID_5204,0.04829431373410259
EID_10030,0.09386519214148477
EID_13227,0.09204134033618783
EID_20607,0.13930143057914326
EID_14070,0.08522032265395939
EID_3755,0.1358460019181871
EID_5459,0.3009293484678723
EID_7697,0.16768682697649187
EID_3935,0.21671192224482347
EID_19046,0.27622939670937435
EID_4040,0.04535814510224439
EID_17730,0.0976224600337768
EID_4995,0.0636950982475386
EID_24653,0.22422652138366275
EID_6978,0.17800073429335797
EID_13775,0.21688836041973658
EID_14608,0.135362201282113
EID_3148,0.06070551728729314
EID_24868,0.10116811703866786
EID_5521,0.09016867016915282
EID_21155,0.1254925424457545
EID_3840,0.1301952784642926
EID_10646,0.33233272187847396
EID_6711,0.07255491710082489
EID_16247,0.1621660944087401
EID_16789,0.18857387684319163
EID_17967,0.10248015185640047
EID_13270,0.22461499596623113
EID_18462,0.11401149761658702
EID_22248,0.13167345357165314
EID_22693,0.10033590218617235
EID_25662,0.13547171127026839
EID_23346,0.1866689072959764
EID_4437,0.24456934401718922
EID_18108,0.1667711814551145
EID_7000,0.14387801857960572
EID_22770,0.11710326775300482
EID_7816,0.23150314927347146
EID_19615,0.2342322134061853
EID_23807,0.14197917898625348
EID_16764,0.10904449109916498
EID_16818,0.05654087541010975
EID_22712,0.299986129532326
EID_18198,0.2817248472839678
EID_11154,0.11136162709734798
EID_22137,0.06498609950566818
EID_11655,0.12510277765209676
EID_18514,0.10571026025637799
EID_24742,0.0844515963306356
EID_16019,0.08298222735896857
EID_7357,0.11056732374223151
EID_20106,0.19081882347569823
EID_13284,0.11053396428931613
EID_5451,0.16433312859824198
EID_19728,0.13487905532621686
EID_9178,0.07690765192778701
EID_13177,0.054864077376175935
EID_14300,0.22468713887390634
EID_4379,0.12002161792173076
EID_11285,0.14910727714396077
EID_14882,0.05096615756101269
EID_9969,0.06361393092548885
EID_23643,0.24186337027960103
EID_5935,0.2648958044525655
EID_7741,0.08746963545444482
EID_6176,0.10568189369372828
EID_5418,0.3469215524106781
EID_20626,0.27743770185357564
EID_1725,0.06324607648538144
EID_14317,0.08347878939075554
EID_12120,0.09848819978269559
EID_20264,0.1314317658969716
EID_16691,0.15367279202011316
EID_1093,0.083494880162073
EID_2565,0.1372887954598364
EID_11463,0.19457640990169686
EID_12005,0.09978281708402231
EID_10326,0.13602715121908848
EID_12582,0.2566853162837229
EID_18228,0.14142227192627727
EID_11670,0.215693469670144
EID_24257,0.24614804716816827
EID_7024,0.1661172697019483
EID_10382,0.2810850684478185
EID_20210,0.11312683180655493
EID_10294,0.19507692822038783
EID_19941,0.4335338577013797
EID_25572,0.10033571843017396
EID_7758,0.08701002414299557
EID_22718,0.09145070293723045
EID_1078,0.19796565602202473
EID_8227,0.14156765044576955
EID_1702,0.1094179561390226
EID_3532,0.11823335245845473
EID_22452,0.10352443129225251
EID_3019,0.05873701125602087
EID_22264,0.24110628802586642
EID_9866,0.02101397614622817
