area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,69.53280501349502
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,139.27888286624852
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,392.05988766790983
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,43.02512339320549
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,69.96213017165377
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,90.03979260374277
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,547.1643163902434
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,39.986809161315364
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,103.319407569057
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,148.27947786061645
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,89.80754722597537
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,95.83051247374603
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,236.58537134028282
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,38.26441339552223
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,81.62178523962972
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,140.55887039994892
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,37.655568885399624
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,50.660000000000004
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,50.18044500620249
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,173.58633177745156
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.59327032291783
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,101.3354011001105
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,48.856924310790184
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,59.247128872669485
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,132.66583402431417
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,112.74944974173299
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,170.48458695246592
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,70.11961586287121
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,63.47754762062867
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,90.63910282359153
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,44.15568881649942
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,69.02808396931226
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,57.65100879196929
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,223.51815237735147
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,34.309714388037946
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,94.1419484605972
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,374.29276337946374
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,47.31048728719627
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,76.57335766587725
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,70.26341346724621
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,88.80496861577913
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,104.88701352415669
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,92.68072037171979
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,48.99673311988787
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,172.45004056712668
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,79.67737337869751
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,45.785806687739445
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,94.64769596735638
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,40.089236530026895
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,298.3687058240301
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,120.83126364031247
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,104.08442632018472
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,54.233606924447145
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,64.82983406421424
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,61.97504680712611
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,36.8851479867793
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,295.3627120122586
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,130.7896097479664
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,94.59403796493628
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,70.26341346724621
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,120.52389917514098
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,43.71940120357587
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,43.0531929677292
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,54.33133329329975
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,76.1807750100501
