area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,77.4601809837321
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,122.49493916756266
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,347.15226553908843
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,42.069710934716056
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,78.77468270071655
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,111.14276615100947
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,483.7380736026417
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,44.67822238222497
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,102.489129863962
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,101.44022647378321
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,86.63560920082655
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,77.05940045888133
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,232.48661631879472
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,36.26107888937195
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,89.41017641836564
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,166.5887824408304
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,33.33365695640358
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,50.660000000000004
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,40.999999999999986
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,208.71170687398455
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.56992912923023
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,89.44888059008804
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,48.29503017546495
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,61.48999919987198
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,132.99999999999997
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,138.62091533864125
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,165.9161466126031
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,72.27346040688951
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,59.59702963017245
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,119.4989626511365
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,50.297563294955864
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,72.8308878451289
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,61.89674077406554
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,215.70486842708445
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,36.923607423345146
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,96.28309205612246
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,308.7272994103037
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,54.964274318532915
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,98.82985525382668
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,82.51377131946563
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,83.68175718535842
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,132.9066839257846
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,96.7036335045939
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,40.51867049894542
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,168.79399282660154
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,77.14089838234523
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,44.716517802649825
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,139.95747585708241
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,42.89760813529594
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,349.0157139329603
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,116.49042514179614
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,107.60607717802904
