area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,75.62201860274665
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,156.32753779291068
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,331.20032172085416
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,42.45840801283249
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,62.36587840328972
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,81.99597299100577
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,358.1800863744091
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,42.178342308287775
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,96.97221756132133
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,168.70566876971023
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,92.35510312838966
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,109.87929618071465
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,239.89622086450254
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,43.69313219675596
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,75.52733684244751
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,207.12723587097892
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,44.47742745507599
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,68.25250562323426
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,42.40509374260886
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,206.5756751505726
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.378450683326115
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,134.3007139575123
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,46.6435918272723
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,51.84048239814806
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,131.81886804271312
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,89.79168055396647
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,145.05427859916685
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,81.6434842694232
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,68.66850362655232
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,74.43295227286316
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,54.29600748412728
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,74.35187296537498
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,52.71614062507826
