area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,70.88144554270409
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,163.06496388653952
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,313.41354505658086
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,43.827868690273654
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,61.28086639749752
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,77.05322295695535
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,336.2302291205211
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,42.570583344475054
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,93.43715502578813
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,164.2721213089327
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,92.72843660738711
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,116.15363460500089
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,239.48032716324303
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,42.284918126140525
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,75.96582191359438
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,203.01616606563124
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,41.853394369718174
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,65.65451188467341
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,40.03041132000743
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,218.51122477100603
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.27051787907209
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,128.94857719889703
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,41.3816673159133
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,51.88743101466057
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,129.59305860938397
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,87.43075357169278
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,132.04103465929376
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,81.8359227015049
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,67.67429448855418
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,83.42992210279037
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,53.33028439569765
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,78.63917557962681
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,50.86086175308823
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,245.54048634916262
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,31.46927919978922
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,122.9194259267383
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,362.5074692068585
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,44.614597223511126
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,60.07099922928302
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,76.47537338221225
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,100.87673581581835
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,96.5258976543474
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,80.31721258423403
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,51.76889445882252
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,213.13501528295305
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,81.34876167234205
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,45.07706816842155
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,77.40432690780615
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,44.29071077231399
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,322.7677843370106
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,125.15252807701373
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,102.13946222049762
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,67.0461121843987
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,67.37042817400695
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,51.45017515836751
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,37.48318925439744
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,300.4140232973282
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,157.13718185905097
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,90.39719898829217
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,67.34043740760615
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,97.24261209252933
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,43.83702940381297
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,44.0038167140352
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,52.487884199514966
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,93.16388260559734
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,57.46391480489431
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,63.55482299924209
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,221.09960748544205
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,56.453264350348896
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,55.73207875084741
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,100.78106565762523
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,61.67281854873351
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,114.86716463910427
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,82.10568812367204
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,106.19264902498398
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,49.715765068188894
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,68.83517058961698
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,51.49860154814465
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,192.78883066006716
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,122.86906783375954
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,48.234176844133216
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,67.29771366401194
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,53.35898079432122
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,51.197416284623884
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,208.0634051007631
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,62.99854266653141
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,38.92528136727803
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,42.95636894830431
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,137.05724929068563
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,56.00899563018785
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,46.97513101524912
