area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,75.50565759698371
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,180.5283221696541
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,246.131664890838
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,49.40367654724717
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,58.017320216107876
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,81.18529706367447
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,320.6092584755758
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,41.47973796053742
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,93.34990278732481
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,140.7090667470656
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,97.68968011846867
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,130.38163016736488
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,235.89841195739558
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,46.755518056105394
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,74.60067099210693
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,187.1832341580934
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,37.84292543354329
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,61.37406777996628
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,37.472576727510415
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,245.45303624784748
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.06389201281353
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,130.31052130327936
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,44.634619356768205
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,52.03816305782263
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,128.61966205548225
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,83.30119518475352
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,118.72238531483755
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,87.85754162333217
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,63.35428890575602
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,90.96966301913439
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,53.20722378727283
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,82.23381660034738
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,54.49203510677578
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,233.51187029707418
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,37.280973534047256
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,102.75139642388737
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,363.9194032752455
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,43.77816103860907
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,58.60979135264672
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,72.32536415998479
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,104.8186522678327
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,100.31055393521943
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,89.51431331279976
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,57.71417564440873
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,189.52352135422083
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,77.88526877894842
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,47.497444227984204
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,64.09503749831688
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,44.87977170558887
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,294.14872528513473
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,120.4451860445235
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,88.02844474497083
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,68.72941626949049
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,71.08845411705683
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,56.15744651343397
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,37.22787913915138
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,312.9717335052454
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,155.19351446809958
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,93.59686819762435
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,72.32536415998473
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,103.39315983999937
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,43.9925908785201
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,46.39621776197861
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,51.14968180094151
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,88.50513491005265
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,55.12154900294382
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,72.32536415998479
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,243.2857700272712
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,58.85955837129429
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,55.204838301729446
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,107.26592461851604
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,56.11115283626617
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,101.09645255613648
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,88.07981969397729
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,107.99458095671356
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,53.19815696237353
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,60.40941123589177
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,50.90867745375515
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,260.1306829983308
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,99.44306605953521
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,55.655024937787786
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,66.6156274543274
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,52.46162915335147
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,46.46487366284109
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,211.18715959839597
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,70.26383717459748
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,46.312151176017686
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,41.721884149638925
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,129.55790735744637
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,59.374317298703644
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,46.59133468112117
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,39.33183677067882
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,62.54158427703117
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,67.17137014878682
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,114.13235836185436
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,58.805404340189746
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,32.55477355408742
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,63.16102595191174
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,121.45366507844905
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,93.77629343837349
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,98.43403582674804
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,37.8564917494308
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,53.02444535262646
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,73.94062238014429
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,50.92028406938959
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,76.3300804388311
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,120.07392537525374
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,57.465223795059025
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,55.39369711335942
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,67.27509030383511
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.39499571195982
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,50.798277086664086
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,86.61548259469467
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,84.59038206406798
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,93.34990278732481
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,54.844155836085626
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,76.22920048911992
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,37.38295021831139
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.04983287888993
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,52.56470091751412
