area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,69.64931475682997
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,152.47697768111155
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,320.5305261763555
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,44.67388777246696
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,63.93341651437345
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,78.14514528901799
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,454.3477528029808
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,46.37010100668481
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,95.55174622294001
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,196.89066679530438
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,93.38824806494648
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,113.75391592899436
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,239.94812719753602
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,39.30611665214868
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,79.91412258540461
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,149.52979148393973
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,41.55571569923499
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,50.660000000000004
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,46.876441047953236
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,190.17280414069725
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.607444028839616
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,127.06718172562199
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,47.86338736414912
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,55.99366636165595
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,132.24741492597758
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,98.89489077184601
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,160.22968978403463
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,75.01964454984775
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,62.590002479132764
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,82.44412382252416
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,46.000591227779566
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,76.11937283333302
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,48.600599818975724
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,198.86804888044122
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,33.068342925688945
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,95.57381200942729
