ID,Count
18288,560.1432603
18289,560.1781522
18290,560.2130442
18291,560.2479361
18292,560.2828281
18293,560.3177201
18294,560.352612
18295,560.387504
18296,560.422396
18297,560.4572879
18298,560.4921799
18299,560.5270719
18300,560.5619638
18301,560.5968558
18302,560.6317477
18303,560.6666397
18304,560.7015317
18305,560.7364236
18306,560.7713156
18307,560.8062076
18308,560.8410995
18309,560.8759915
18310,560.9108835
18311,560.9457754
18312,468.2826136
18313,468.3175056
18314,468.3523975
18315,468.3872895
18316,468.4221815
18317,468.4570734
18318,468.4919654
18319,468.5268574
18320,468.5617493
18321,468.5966413
18322,468.6315332
18323,468.6664252
18324,468.7013172
18325,468.7362091
18326,468.7711011
18327,468.8059931
18328,468.840885
18329,468.875777
18330,468.910669
18331,468.9455609
18332,468.9804529
18333,469.0153448
18334,469.0502368
18335,469.0851288
18336,470.5285121
18337,470.5635088
18338,470.5985056
18339,470.6335023
18340,470.668499
18341,470.7034957
18342,470.7384925
18343,470.7734892
18344,470.8084859
18345,470.8434826
18346,470.8784793
18347,470.9134761
18348,470.9484728
18349,470.9834695
18350,471.0184662
18351,471.053463
18352,471.0884597
18353,471.1234564
18354,471.1584531
18355,471.1934499
18356,471.2284466
18357,471.2634433
18358,471.29844
18359,471.3334368
18360,576.0880073
18361,576.123004
18362,576.1580007
18363,576.1929975
18364,576.2279942
18365,576.2629909
18366,576.2979876
18367,576.3329844
18368,576.3679811
18369,576.4029778
18370,576.4379745
18371,576.4729713
18372,576.507968
18373,576.5429647
18374,576.5779614
18375,576.6129582
18376,576.6479549
18377,576.6829516
18378,576.7179483
18379,576.752945
18380,576.7879418
18381,576.8229385
18382,576.8579352
18383,576.8929319
18384,563.0367299
18385,563.0717266
18386,563.1067233
18387,563.1417201
18388,563.1767168
18389,563.2117135
18390,563.2467102
18391,563.2817069
18392,563.3167037
18393,563.3517004
18394,563.3866971
18395,563.4216938
18396,563.4566906
18397,563.4916873
18398,563.526684
18399,563.5616807
18400,563.5966775
18401,563.6316742
18402,563.6666709
18403,563.7016676
18404,563.7366644
18405,563.7716611
18406,563.8066578
18407,563.8416545
18408,586.49416
18409,586.5307929
18410,586.5674258
18411,586.6040586
18412,586.6406915
18413,586.6773244
18414,586.7139573
18415,586.7505901
18416,586.787223
18417,586.8238559
18418,586.8604888
18419,586.8971217
18420,586.9337545
18421,586.9703874
18422,587.0070203
18423,587.0436532
18424,587.080286
18425,587.1169189
18426,587.1535518
18427,587.1901847
18428,587.2268175
18429,587.2634504
18430,587.3000833
18431,587.3367162
18432,593.3663813
18433,593.4030142
18434,593.439647
18435,593.4762799
18436,593.5129128
18437,593.5495457
18438,593.5861785
18439,593.6228114
18440,593.6594443
18441,593.6960772
18442,593.73271
18443,593.7693429
18444,593.8059758
18445,593.8426087
18446,593.8792415
18447,593.9158744
18448,593.9525073
18449,593.9891402
18450,594.025773
18451,594.0624059
18452,594.0990388
18453,594.1356717
18454,594.1723045
